band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,AT,,disease severity,spad,WC,number
0.069597,0.11372,0.11282,0.12425,-0.13764,0.38894,0.13181,0.13431,0.09014,0.19459,0.29647,0.39492,0.40738,0.49356,0.54208,0.53387,0.48805,0.52996,0.54478,0.54952,0.51203,0.60049,0.57631,0.12535,0.4,1,40.62,0.82692,23
0.058039,0.046192,0.068871,0.13484,-0.15887,0.35988,0.085593,0.10262,0.096598,0.17189,0.29164,0.44916,0.36859,0.4489,0.63186,0.61339,0.43789,0.52386,0.62808,0.63269,0.46772,0.55051,0.64432,0.12535,0.4,1,40.62,0.82692,24
0.075893,0.15593,0.1599,0.15207,-0.14547,0.40405,0.12802,0.13101,0.081269,0.18167,0.28344,0.39682,0.41612,0.50514,0.57323,0.57545,0.5175,0.55887,0.57297,0.58041,0.53134,0.63081,0.62659,0.12535,0.4,1,40.62,0.82692,25
0.061176,0.093322,0.10951,0.14142,-0.13428,0.37059,0.10941,0.12034,0.095965,0.18424,0.29201,0.42326,0.38132,0.46108,0.57867,0.57456,0.45736,0.51683,0.57721,0.58582,0.47801,0.57247,0.61268,0.12535,0.6,1,41.173,0.77271,26
0.069546,0.075341,0.11028,0.15087,-0.095217,0.3325,0.088357,0.10222,0.096294,0.147,0.25302,0.38867,0.31959,0.37098,0.54223,0.56335,0.40418,0.43766,0.54946,0.58085,0.40876,0.41586,0.53728,0.12535,0.6,1,41.173,0.77271,27
0.074517,0.11348,0.11098,0.12028,-0.13965,0.39934,0.13809,0.1396,0.090697,0.19726,0.30135,0.3915,0.41945,0.50556,0.54214,0.53663,0.50844,0.5379,0.54986,0.557,0.53179,0.59817,0.56935,0.12535,0.6,1,41.173,0.77271,28
0.056455,0.059471,0.085904,0.14093,-0.13438,0.34922,0.086707,0.10321,0.09682,0.16489,0.27723,0.42778,0.35085,0.4252,0.5991,0.588,0.42183,0.49438,0.59531,0.60402,0.4458,0.5195,0.61543,0.12535,0.6,1,41.173,0.77271,29
0.082227,0.15753,0.1597,0.14849,-0.13773,0.4105,0.13563,0.13804,0.083095,0.18556,0.28768,0.3826,0.42273,0.5083,0.55891,0.56587,0.53365,0.55478,0.56544,0.57559,0.53866,0.60714,0.59845,0.12535,0.6,1,41.173,0.77271,30
0.072519,0.13403,0.13512,0.14015,-0.14125,0.40321,0.13555,0.13938,0.091412,0.20056,0.30498,0.40928,0.4251,0.51386,0.56922,0.56462,0.51579,0.5557,0.57014,0.57502,0.5333,0.63044,0.61251,0.12535,0.4,0,38.6,0.81265,31
0.069132,0.0652,0.096926,0.14367,-0.10629,0.33488,0.087915,0.10115,0.095263,0.14838,0.25476,0.39203,0.32266,0.37857,0.55044,0.56472,0.40363,0.44703,0.55745,0.5845,0.41284,0.43092,0.54567,0.12535,0.4,0,38.6,0.81265,32
0.07806,0.103,0.098898,0.11203,-0.14158,0.39722,0.13757,0.13848,0.089972,0.19354,0.29725,0.38149,0.41491,0.50023,0.53291,0.52668,0.50326,0.53106,0.54344,0.55161,0.52606,0.58076,0.55089,0.12535,0.4,0,38.6,0.81265,33
0.068917,0.068923,0.097824,0.14348,-0.1043,0.32942,0.087174,0.10033,0.094571,0.15101,0.25423,0.38811,0.31815,0.37679,0.54328,0.55106,0.39412,0.44449,0.5472,0.56855,0.40538,0.4397,0.54562,0.12535,0.4,0,38.6,0.81265,34
0.067503,0.10683,0.10506,0.1187,-0.14578,0.39767,0.13327,0.13581,0.089058,0.19348,0.29737,0.39499,0.4153,0.50351,0.54815,0.53957,0.50029,0.54023,0.55503,0.56086,0.52714,0.60546,0.57647,0.12535,0.4,0,38.6,0.81265,35
0.064323,0.094763,0.12053,0.15417,-0.12922,0.3429,0.09131,0.10519,0.091039,0.16708,0.26726,0.40734,0.3462,0.42492,0.57464,0.56384,0.41496,0.49516,0.56763,0.56885,0.43457,0.54591,0.61354,0.12535,0.4,0,41.76,0.81628,36
0.075563,0.078773,0.11168,0.15117,-0.10397,0.32918,0.086093,0.099469,0.091717,0.14662,0.24714,0.37941,0.31564,0.37301,0.54379,0.55377,0.39623,0.44648,0.54959,0.56895,0.40351,0.43517,0.54621,0.12535,0.4,0,41.76,0.81628,37
0.09058,0.13245,0.13038,0.13276,-0.13491,0.3997,0.13596,0.1369,0.087619,0.19126,0.29159,0.3783,0.41087,0.49528,0.53809,0.53935,0.50781,0.53791,0.54929,0.55837,0.52514,0.58283,0.56674,0.12535,0.4,0,41.76,0.81628,38
0.069192,0.074813,0.10579,0.15105,-0.13062,0.34526,0.086257,0.10188,0.093203,0.15812,0.26463,0.40801,0.34086,0.4113,0.58748,0.58411,0.41999,0.489,0.58937,0.59951,0.43612,0.49863,0.60052,0.12535,0.4,0,41.76,0.81628,39
0.084902,0.10583,0.1036,0.12189,-0.16073,0.39978,0.12848,0.13162,0.086777,0.19299,0.29792,0.40324,0.41479,0.50819,0.56971,0.5605,0.50143,0.55557,0.57459,0.58011,0.52787,0.61586,0.59747,0.12535,0.4,0,41.76,0.81628,40
0.069374,0.082606,0.10849,0.15199,-0.13162,0.34763,0.092765,0.10763,0.097047,0.17913,0.28914,0.43227,0.35698,0.43216,0.59105,0.58158,0.42277,0.50213,0.58531,0.58928,0.44157,0.54075,0.61687,0.12535,0.4,0,40.373,0.80434,41
0.07981,0.074946,0.1091,0.15414,-0.10679,0.33545,0.088418,0.10307,0.097898,0.16083,0.27219,0.40697,0.33204,0.38611,0.56414,0.57315,0.40934,0.45973,0.5698,0.59017,0.41664,0.43912,0.55676,0.12535,0.4,0,40.373,0.80434,42
0.085463,0.11749,0.11505,0.12729,-0.14615,0.40248,0.13606,0.13947,0.093385,0.2114,0.3188,0.41643,0.42952,0.51516,0.56457,0.558,0.51184,0.55462,0.56933,0.5761,0.53613,0.61338,0.58996,0.12535,0.4,0,40.373,0.80434,43
0.080887,0.07727,0.11193,0.15897,-0.11139,0.34769,0.091649,0.10703,0.10147,0.16847,0.28461,0.42587,0.34679,0.40275,0.58729,0.59908,0.42815,0.47763,0.59246,0.61492,0.4351,0.45979,0.58154,0.12535,0.4,0,40.373,0.80434,44
0.082629,0.11878,0.11642,0.12902,-0.15525,0.41147,0.13637,0.13955,0.09103,0.20612,0.31491,0.41919,0.43481,0.52462,0.57812,0.57178,0.52199,0.56795,0.58421,0.59082,0.54877,0.63368,0.60978,0.12535,0.4,0,40.373,0.80434,45
0.080967,0.09282,0.10216,0.12907,-0.1047,0.31369,0.099754,0.105,0.088449,0.17525,0.26123,0.36555,0.31675,0.39122,0.48395,0.46476,0.36164,0.44233,0.48038,0.47879,0.39137,0.50695,0.52217,0.12535,0.4,0,40.26,0.81758,46
0.080384,0.088653,0.11991,0.15058,-0.080743,0.29796,0.084913,0.095714,0.091292,0.15358,0.24417,0.3559,0.28906,0.34258,0.48891,0.48661,0.34888,0.40839,0.49073,0.50067,0.35979,0.41574,0.50411,0.12535,0.4,0,40.26,0.81758,47
0.089767,0.1217,0.1234,0.13553,-0.11461,0.35662,0.12104,0.12309,0.091501,0.19522,0.28578,0.38127,0.36804,0.44573,0.51055,0.50134,0.43292,0.49179,0.51116,0.51569,0.45788,0.55248,0.54578,0.12535,0.4,0,40.26,0.81758,48
0.077623,0.088925,0.12389,0.15694,-0.086292,0.31478,0.086127,0.098943,0.093846,0.15413,0.25206,0.37355,0.30505,0.35646,0.51728,0.52582,0.37712,0.42572,0.52152,0.53939,0.38395,0.42047,0.52552,0.12535,0.4,0,40.26,0.81758,49
0.080629,0.12597,0.12856,0.13859,-0.12506,0.36862,0.12181,0.12543,0.089787,0.19607,0.29094,0.39103,0.38391,0.46495,0.53141,0.52362,0.4567,0.51159,0.53131,0.53441,0.47864,0.58012,0.57275,0.12535,0.4,0,40.26,0.81758,50
0.080485,0.09493,0.10685,0.12791,-0.063926,0.27197,0.091722,0.096604,0.086205,0.15906,0.23043,0.31755,0.26656,0.32839,0.41283,0.39558,0.30223,0.37346,0.40916,0.40826,0.32503,0.42271,0.4436,0.12535,0.4,0,45.673,0.81839,51
0.074458,0.10834,0.1153,0.13501,-0.11263,0.3515,0.11609,0.12255,0.096203,0.19901,0.29255,0.3925,0.36747,0.44543,0.52203,0.50657,0.42795,0.48943,0.51868,0.51875,0.45146,0.5539,0.55497,0.12535,0.4,0,45.673,0.81839,52
0.073372,0.12629,0.16233,0.18198,-0.10668,0.33786,0.092582,0.10904,0.097741,0.18455,0.2848,0.41863,0.3486,0.41687,0.57622,0.56888,0.41833,0.49075,0.56569,0.56624,0.42732,0.53253,0.61956,0.12535,0.4,0,45.673,0.81839,53
0.067617,0.10977,0.11166,0.13612,-0.14126,0.38298,0.12509,0.13204,0.099304,0.22125,0.32549,0.44068,0.41114,0.49993,0.57523,0.55686,0.47435,0.54438,0.56903,0.56614,0.50611,0.64,0.62498,0.12535,0.4,0,45.673,0.81839,54
0.083168,0.13745,0.15857,0.17531,-0.11422,0.37159,0.11565,0.12759,0.10541,0.21524,0.31885,0.4411,0.39032,0.46652,0.58832,0.58085,0.46327,0.52918,0.58216,0.58415,0.47948,0.59004,0.63597,0.12535,0.4,0,45.673,0.81839,55
0.068727,0.098624,0.11292,0.13328,-0.078041,0.28732,0.09086,0.096936,0.084238,0.15741,0.23442,0.33431,0.28425,0.35002,0.44353,0.42668,0.32575,0.39944,0.43848,0.43718,0.34999,0.45954,0.48373,0.12535,0.4,0,44.933,0.80682,56
0.076146,0.10473,0.11599,0.13932,-0.11434,0.34664,0.10939,0.11724,0.094488,0.19288,0.28915,0.3971,0.36037,0.4357,0.53021,0.51605,0.42026,0.48639,0.52686,0.52782,0.44427,0.54499,0.56426,0.12535,0.4,0,44.933,0.80682,57
0.061236,0.11002,0.14408,0.17663,-0.12811,0.35715,0.093745,0.11282,0.10226,0.19357,0.30523,0.45408,0.37351,0.44984,0.61952,0.60641,0.44424,0.52385,0.60712,0.60648,0.4598,0.57641,0.66632,0.12535,0.4,0,44.933,0.80682,58
0.13302,0.07402,0.070765,0.12174,-0.16608,0.37679,0.11533,0.12128,0.099232,0.22347,0.33747,0.45061,0.39606,0.49047,0.59185,0.56679,0.44745,0.5541,0.5974,0.59738,0.49089,0.60371,0.60444,0.12535,0.4,0,44.933,0.80682,59
0.080482,0.1239,0.14304,0.16612,-0.12189,0.37597,0.11683,0.12865,0.10654,0.21736,0.32444,0.44747,0.39636,0.47356,0.59316,0.58527,0.46885,0.53367,0.58917,0.59297,0.48868,0.59484,0.63692,0.12535,0.4,0,44.933,0.80682,60
0.069788,0.11925,0.12718,0.14545,-0.13425,0.36348,0.11333,0.12182,0.092045,0.20233,0.30393,0.42346,0.38853,0.47309,0.56309,0.54732,0.44961,0.52366,0.55329,0.55075,0.47514,0.6065,0.61099,0.12535,0.2,0,35.273,0.79073,61
0.080409,0.082242,0.1162,0.1571,-0.09699,0.3267,0.089189,0.10326,0.098797,0.16752,0.27689,0.40682,0.32832,0.38152,0.55141,0.55867,0.39868,0.44962,0.55158,0.56996,0.40472,0.44272,0.55227,0.12535,0.2,0,35.273,0.79073,62
0.090782,0.12338,0.12105,0.13075,-0.14245,0.40475,0.1385,0.14121,0.094841,0.21496,0.32173,0.41587,0.43141,0.51628,0.5639,0.55913,0.51599,0.55542,0.5702,0.57776,0.53961,0.61334,0.59171,0.12535,0.2,0,35.273,0.79073,63
0.080242,0.15553,0.19096,0.20036,-0.154,0.37717,0.096548,0.11517,0.092035,0.19932,0.31066,0.46309,0.40152,0.48717,0.65363,0.63834,0.47843,0.57871,0.64145,0.63217,0.4909,0.64793,0.72195,0.12535,0.2,0,35.273,0.79073,64
0.082739,0.079355,0.073719,0.10815,-0.18063,0.41124,0.13072,0.13609,0.09293,0.21521,0.33123,0.44408,0.44256,0.53942,0.60211,0.58469,0.51567,0.58321,0.60694,0.61041,0.55621,0.65724,0.62516,0.12535,0.2,0,35.273,0.79073,65
0.064869,0.096443,0.10123,0.12394,-0.14472,0.35803,0.10816,0.11377,0.081753,0.17001,0.26484,0.38133,0.36487,0.45501,0.53809,0.52266,0.43455,0.50681,0.53546,0.53497,0.46546,0.5844,0.58114,0.12535,0.4,0,43.18,0.81933,66
0.074867,0.06867,0.095492,0.14152,-0.12417,0.33142,0.084576,0.097427,0.089278,0.15187,0.25349,0.3875,0.32218,0.3916,0.55794,0.54966,0.39319,0.46638,0.56051,0.56814,0.41144,0.47625,0.5679,0.12535,0.4,0,43.18,0.81933,67
0.086236,0.094936,0.092073,0.11249,-0.14604,0.37514,0.12193,0.12217,0.082793,0.17755,0.27462,0.37486,0.37893,0.46827,0.52517,0.51417,0.45463,0.51331,0.53248,0.54018,0.48938,0.57141,0.55269,0.12535,0.4,0,43.18,0.81933,68
