band1,band2,band3,band4,band5,disease severity
0.22623,0.17329,0.36135,0.31427,0.9182,1
0.25325,0.20221,0.38601,0.36493,1.0416,0.67
0.26135,0.20811,0.39628,0.37904,1.073,0.67
0.23581,0.18147,0.35413,0.33436,0.94502,0.67
0.26059,0.20736,0.39854,0.36767,1.0559,0.33
0.26573,0.21117,0.40686,0.37713,1.0964,0.67
0.21652,0.15925,0.31282,0.30439,0.97434,0.33
0.27669,0.22108,0.43515,0.38688,1.1331,1
0.30252,0.2549,0.51409,0.42057,1.124,1
0.24932,0.19585,0.33889,0.36577,1.1439,1
0.26528,0.19316,0.38952,0.36004,1.1417,0.67
0.26345,0.19733,0.41809,0.35913,1.106,1
0.26665,0.22292,0.47277,0.37653,1.0292,0
0.28348,0.23214,0.49821,0.39677,1.1332,0.33
0.28355,0.23731,0.52979,0.38577,1.0631,0.33
0.27959,0.22391,0.4946,0.38655,1.1397,0
0.274,0.2239,0.44842,0.3783,1.1092,0
0.28303,0.23914,0.49075,0.3921,1.0216,0
0.29358,0.22966,0.48596,0.39491,1.1046,0.33
0.23091,0.18155,0.38232,0.33961,1.0094,0.33
0.2226,0.17177,0.35601,0.31038,0.91886,1
0.25991,0.2049,0.38933,0.37191,1.0868,0.67
0.26952,0.21225,0.40343,0.38237,1.1077,0.67
0.23174,0.17922,0.3477,0.33241,0.95151,0.67
0.25418,0.20222,0.38507,0.36439,1.0745,0.33
0.26494,0.21641,0.42533,0.38085,1.0964,0.67
0.21606,0.1605,0.31894,0.30134,0.96436,0.33
0.25246,0.20269,0.38726,0.35977,1.0713,1
0.30092,0.25189,0.51457,0.41709,1.1229,1
0.2765,0.21587,0.36233,0.38191,1.1532,1
0.24363,0.18281,0.34033,0.34199,1.0829,0.67
0.26272,0.20392,0.42091,0.37207,1.1055,1
0.27704,0.23885,0.51089,0.39389,0.96849,0
0.2634,0.19981,0.44437,0.33817,1.0366,0.33
0.28931,0.23922,0.5483,0.3832,1.0581,0.33
0.27914,0.22196,0.49208,0.38029,1.1192,0
0.26331,0.21603,0.44596,0.37287,1.0631,0
0.26335,0.20875,0.41726,0.37271,1.0802,0
0.29379,0.23303,0.49212,0.40775,1.1311,0.33
0.23132,0.18337,0.38931,0.33218,0.96495,0.33
0.22657,0.17485,0.36463,0.31392,0.91934,1
0.26339,0.20571,0.39548,0.36799,1.0801,0.67
0.26865,0.21272,0.41135,0.38048,1.0804,0.67
0.23576,0.18164,0.35781,0.3323,0.94144,0.67
0.25975,0.20379,0.39614,0.36351,1.0904,0.33
0.27534,0.21954,0.4243,0.38411,1.1145,0.67
0.21074,0.15351,0.29596,0.29217,0.96342,0.33
0.25485,0.20334,0.38677,0.36703,1.0858,1
0.29263,0.24781,0.5,0.40888,1.0954,1
0.27036,0.21334,0.37348,0.37572,1.1285,1
0.24552,0.17586,0.32743,0.33482,1.1172,0.67
0.2556,0.20498,0.4319,0.3668,1.0365,1
0.2594,0.20232,0.47027,0.34111,0.88836,0
0.2719,0.21018,0.46189,0.36985,1.0599,0.33
0.27687,0.22327,0.49767,0.37716,1.0589,0.33
0.28679,0.25302,0.54336,0.42669,1.0904,0
0.27009,0.20774,0.45709,0.36584,1.1156,0
0.25235,0.20887,0.42156,0.37868,1.0586,0
0.28536,0.22607,0.47279,0.40308,1.1125,0.33
0.23016,0.18153,0.37862,0.33443,1.0039,0.33
0.22163,0.17265,0.3581,0.31494,0.94514,1
0.25363,0.20032,0.38363,0.36252,1.042,0.67
0.25848,0.19977,0.38437,0.36566,1.0925,0.67
0.23337,0.17988,0.3592,0.32438,0.92458,0.67
0.25616,0.20055,0.3841,0.36116,1.0754,0.33
0.26978,0.21694,0.41905,0.38018,1.081,0.67
0.20804,0.14994,0.29117,0.28542,0.94522,0.33
0.2541,0.20539,0.39019,0.36654,1.0759,1
0.29633,0.24791,0.49918,0.40608,1.086,1
0.25416,0.19843,0.36977,0.36015,1.0905,1
0.24258,0.18051,0.33616,0.3342,1.0531,0.67
0.25952,0.20874,0.42656,0.37458,1.0718,1
0.26489,0.22491,0.46746,0.38363,0.99444,0
0.2696,0.22312,0.47024,0.3959,1.0615,0.33
0.26291,0.20987,0.44994,0.35861,1.041,0.33
0.26544,0.21713,0.45112,0.37739,1.0615,0
0.26497,0.20015,0.43347,0.36436,1.0922,0
0.2446,0.2022,0.3909,0.37356,1.0549,0
0.2867,0.2272,0.46399,0.40351,1.1297,0.33
0.20975,0.14984,0.17015,0.35587,0.43875,0.67
0.18772,0.13282,0.1437,0.31183,0.39545,1
0.25559,0.19455,0.21439,0.44288,0.49404,1
0.23785,0.18642,0.20683,0.41925,0.47341,1
0.16523,0.11226,0.10421,0.29521,0.40309,0.67
0.24807,0.18936,0.20747,0.42595,0.4693,1
0.25187,0.18622,0.20105,0.42492,0.47415,1
0.14423,0.092937,0.090551,0.25082,0.37474,0.67
0.22749,0.17607,0.17708,0.40595,0.47151,0.67
0.25385,0.20394,0.22348,0.44068,0.44904,2
0.20761,0.16827,0.16633,0.38459,0.45798,0.67
0.16939,0.12249,0.12645,0.28634,0.40492,1
0.18866,0.14572,0.15231,0.3327,0.41848,1
0.21324,0.17083,0.19033,0.37338,0.4015,0
0.19894,0.14689,0.16177,0.32946,0.42139,0.67
0.21617,0.16402,0.18126,0.35071,0.43299,0.33
0.1994,0.15908,0.17103,0.33327,0.42648,1
0.18941,0.15384,0.15878,0.31663,0.39104,0.33
0.1764,0.14053,0.1315,0.31823,0.37544,0
0.24562,0.20429,0.21624,0.44118,0.47223,2.33
0.21275,0.15206,0.17444,0.36007,0.44755,0.67
0.19085,0.13773,0.15244,0.32148,0.40462,1
0.24022,0.17893,0.18949,0.42072,0.49839,1
0.24734,0.1889,0.20747,0.42585,0.48906,1
0.16886,0.11431,0.10569,0.29677,0.40724,0.67
0.24141,0.18499,0.2072,0.40884,0.449,1
0.24836,0.18255,0.19404,0.4318,0.49102,1
0.14798,0.095809,0.094281,0.25739,0.36491,0.67
0.22321,0.17306,0.17012,0.40771,0.47994,0.67
0.24306,0.19727,0.20959,0.42931,0.44224,2
0.21128,0.16927,0.16996,0.38819,0.46786,0.67
0.17656,0.12125,0.12677,0.28041,0.39432,1
0.18866,0.13214,0.14453,0.30895,0.4059,1
0.19874,0.14861,0.1644,0.33082,0.37754,0
0.22384,0.1745,0.18755,0.39038,0.45782,0.67
0.22242,0.1708,0.19053,0.37462,0.44624,0.33
0.20914,0.16803,0.17661,0.3456,0.44759,1
0.19461,0.1563,0.16419,0.31268,0.40016,0.33
0.17353,0.13724,0.13286,0.31924,0.40877,0
0.24596,0.20305,0.21482,0.43928,0.46314,2.33
0.21286,0.15145,0.17191,0.36406,0.45474,0.67
0.19276,0.13742,0.14996,0.32966,0.4265,1
0.25336,0.19176,0.2056,0.43703,0.51511,1
0.24956,0.18651,0.2038,0.42565,0.49727,1
0.16872,0.11332,0.10737,0.29859,0.41162,0.67
0.25379,0.19069,0.21209,0.42036,0.47028,1
0.23205,0.17105,0.17535,0.40625,0.48542,1
0.14757,0.094585,0.088325,0.25841,0.3776,0.67
0.22036,0.16773,0.16361,0.40242,0.47784,0.67
0.24857,0.20265,0.21074,0.44523,0.45885,2
0.21815,0.1712,0.17396,0.39241,0.46366,0.67
0.16784,0.11824,0.1143,0.27518,0.37759,1
0.19167,0.13493,0.1456,0.32248,0.40949,1
0.20519,0.13868,0.16852,0.35107,0.3698,0
0.20636,0.14703,0.16531,0.32943,0.42226,0.67
0.22707,0.17113,0.19311,0.37162,0.4413,0.33
0.20838,0.15769,0.17455,0.34247,0.43715,1
0.18974,0.15426,0.15994,0.29135,0.39265,0.33
0.1696,0.13489,0.11838,0.30999,0.41749,0
0.23536,0.19814,0.20532,0.41659,0.44077,2.33
0.21328,0.15296,0.17302,0.36183,0.441,0.67
0.19279,0.13895,0.15334,0.33216,0.42509,1
0.26404,0.19432,0.22165,0.45261,0.50946,1
0.26324,0.19289,0.22464,0.44013,0.49453,1
0.17192,0.11334,0.10589,0.30522,0.41124,0.67
0.25146,0.18905,0.21188,0.42444,0.47868,1
0.25185,0.18834,0.20286,0.42561,0.48458,1
0.15089,0.094901,0.092585,0.25779,0.37847,0.67
0.22025,0.16923,0.16574,0.39495,0.47159,0.67
0.24251,0.19702,0.20655,0.4283,0.44055,2
0.21584,0.16802,0.17183,0.37983,0.45024,0.67
0.17465,0.11533,0.11736,0.27634,0.39231,1
0.20164,0.14088,0.15137,0.33132,0.41336,1
0.19878,0.1525,0.16265,0.33146,0.37779,0
0.21204,0.15212,0.16942,0.34733,0.43239,0.67
0.21743,0.16151,0.18357,0.35017,0.43486,0.33
0.19552,0.14579,0.16209,0.31805,0.41633,1
0.18076,0.14309,0.14038,0.28663,0.40154,0.33
0.16629,0.12524,0.1194,0.30695,0.41322,0
0.22953,0.19553,0.20238,0.43234,0.44187,2.33
0.20959,0.14695,0.16574,0.35254,0.44023,0.67
0.19419,0.13831,0.15523,0.33795,0.43516,1
0.25698,0.18917,0.2089,0.45671,0.52794,1
0.25613,0.18943,0.21761,0.43385,0.49309,1
0.1755,0.1158,0.11139,0.31002,0.41513,0.67
0.24887,0.18576,0.20845,0.41414,0.46965,1
0.24527,0.18282,0.19325,0.42723,0.49563,1
0.14891,0.095574,0.095352,0.25309,0.36188,0.67
0.2303,0.17333,0.17378,0.40552,0.46956,0.67
0.2471,0.19631,0.20492,0.43293,0.44879,2
0.21677,0.16517,0.17329,0.37954,0.43707,0.67
0.17864,0.1231,0.11526,0.3299,0.42792,1
0.17452,0.1158,0.11342,0.2943,0.43153,1
0.16217,0.11999,0.11899,0.27987,0.35759,0
0.20718,0.15461,0.16172,0.35851,0.43145,0.67
0.20921,0.15843,0.16828,0.34573,0.42864,0.33
0.20697,0.16152,0.16829,0.35017,0.44471,1
0.19623,0.15144,0.1556,0.33402,0.39307,0.33
0.16218,0.12957,0.11661,0.3103,0.41256,0
0.22376,0.19177,0.19283,0.43153,0.45815,2.33
0.16814,0.089304,0.11896,0.16849,0.28843,1
0.17515,0.10526,0.12363,0.18913,0.3139,1.33
0.23986,0.15499,0.19997,0.24464,0.31994,2.33
0.22592,0.14792,0.19065,0.24083,0.34046,2.33
0.14301,0.088046,0.098164,0.1694,0.311,1.33
0.23529,0.15297,0.19794,0.24821,0.3442,1.67
0.24824,0.15758,0.19696,0.25999,0.36418,1.67
0.14156,0.091443,0.1015,0.16851,0.29781,1
0.22912,0.16456,0.18018,0.27121,0.38064,1.33
0.32154,0.2157,0.27984,0.3154,0.38656,3
0.2148,0.14501,0.17692,0.24502,0.35384,1
0.16879,0.091163,0.11779,0.16987,0.29716,1
0.20832,0.12484,0.14652,0.21782,0.34476,1
0.20715,0.12026,0.15835,0.19597,0.30117,1
0.1827,0.11043,0.12998,0.18526,0.29915,1.33
0.2215,0.12789,0.15899,0.22439,0.33224,2
0.18612,0.11416,0.13996,0.19243,0.31179,1
0.20538,0.12965,0.1554,0.21397,0.33204,1
0.16516,0.10635,0.11535,0.20134,0.30234,1.33
0.24687,0.15353,0.2226,0.25096,0.32356,3.67
0.17505,0.088533,0.12035,0.16881,0.29196,1
0.18277,0.10901,0.12893,0.18826,0.31203,1.33
0.23117,0.14841,0.17462,0.25036,0.35455,2.33
0.23972,0.14834,0.20153,0.24127,0.33519,2.33
0.14484,0.089822,0.096474,0.17112,0.31856,1.33
0.24382,0.15518,0.20424,0.24468,0.33011,1.67
0.24453,0.15694,0.18974,0.26214,0.36867,1.67
0.14272,0.094057,0.10403,0.17286,0.30681,1
0.23078,0.16212,0.18562,0.26624,0.36424,1.33
0.32145,0.2112,0.27782,0.30731,0.36942,3
0.21985,0.14328,0.17332,0.24567,0.36103,1
0.17195,0.093164,0.11718,0.17107,0.29212,1
0.20803,0.11857,0.14444,0.21343,0.33126,1
0.20149,0.13399,0.13684,0.22102,0.33217,1
0.22443,0.13764,0.16208,0.23706,0.34434,1.33
0.2324,0.13713,0.16829,0.22747,0.33832,2
0.19576,0.1087,0.13874,0.1906,0.31178,1
0.18113,0.10095,0.13175,0.16465,0.29161,1
0.16367,0.098882,0.11616,0.19282,0.31036,1.33
0.25675,0.16382,0.2262,0.25796,0.33994,3.67
0.16808,0.087271,0.11353,0.16309,0.29316,1
0.19043,0.11194,0.13196,0.19388,0.33076,1.33
0.25193,0.15599,0.20019,0.26353,0.35741,2.33
0.22786,0.1456,0.1831,0.24703,0.35784,2.33
0.1457,0.087937,0.09729,0.16742,0.31091,1.33
0.24171,0.15502,0.19761,0.25069,0.35916,1.67
0.26293,0.16315,0.20633,0.26815,0.36492,1.67
0.14769,0.092993,0.10443,0.17394,0.30623,1
0.23587,0.15791,0.192,0.2532,0.33661,1.33
0.30971,0.20915,0.26277,0.30745,0.37535,3
0.21973,0.14624,0.17452,0.24595,0.3618,1
0.17512,0.09117,0.11732,0.16907,0.29582,1
0.2131,0.12203,0.15246,0.21403,0.32865,1
0.18036,0.12192,0.13383,0.19059,0.30108,1
0.22957,0.12734,0.16921,0.21869,0.34321,1.33
0.2261,0.13235,0.16737,0.20785,0.31218,2
0.18434,0.10096,0.13858,0.17235,0.28223,1
